Model,# Diff̩rentes,# Features,# Similaires (p > 0.05),CB Diff (%),Diversity Gap (%),Feature,Jensen-Shannon Divergence,KS P-value,KS Statistic,Mean (synth),PD (%),TSTR MLP Accuracy,TSTR MLP F1-score,TSTR RF Accuracy,TSTR RF F1-score,Variance (synth),Vendi Gap (%),Vendi Score (real),Vendi Score (synth),Wasserstein Distance
cluster_vae_df_eps_0pt5,29.0,41.0,12.0,0.0009645222348291,-84.1513200790808,GLOBAL,0.0588397404094427,0.2663696586271648,0.1820689166949649,123.69290336374168,70.73170731707317,0.9069485591166172,0.9165403505605516,0.9103599964090132,0.9124773623388552,28658484.319786053,-58.736204970202536,37.54659109467933,15.49314838998467,1406.0791805442875
cluster_vae_df_eps_1,29.0,41.0,12.0,0.0009645222348291,-48.91516910103463,GLOBAL,0.0373026071067622,0.2847907625696951,0.1474541307394486,184.6849582544844,70.73170731707317,0.9671424723942904,0.9667452468044744,0.9863318071640184,0.9853203374920568,232317688.61520156,-43.06981975139338,37.54659109467933,21.375341987408223,1289.2402638557028
cluster_vae_df_eps_1pt25,26.0,41.0,15.0,0.0009645222348291,4.914274768898805,GLOBAL,0.0352537034438489,0.3224764443156211,0.1410496524982511,212.75210480631847,63.41463414634146,0.9712721070114014,0.970332327271586,0.990506329113924,0.9898130120046146,357624746.4172168,-32.87377303619374,37.54659109467933,25.20360995538672,1251.4255611091644
cluster_vae_df_eps_1pt5,26.0,41.0,15.0,0.0009645222348291,42.685979090025725,GLOBAL,0.0334169779276219,0.3623499768206986,0.1391566239860067,238.6967309703336,63.41463414634146,0.9636637041027022,0.9625904986175288,0.9923018224257114,0.9918434812161444,502343465.9415819,-25.812371368418948,37.54659109467933,27.854925565138984,1221.9325011457552
cluster_vae_df_eps_1pt75,26.0,41.0,15.0,0.0009645222348291,56.40801527966258,GLOBAL,0.0291915526752268,0.3187575545764569,0.140289028478383,249.2055259096847,63.41463414634146,0.9720351916689112,0.9678618000889332,0.9916509561001884,0.9912485841969262,576774002.2741493,-21.328101034901888,37.54659109467933,29.538616210844648,1226.8682560423258
cluster_vae_df_eps_2,28.0,41.0,13.0,0.0009645222348291,93.99389456834815,GLOBAL,0.0279087170935022,0.2960580274596925,0.1421457983862409,268.49005993532813,68.29268292682927,0.9691624023700512,0.9675694075730228,0.9917856180985726,0.9913397053065224,685665686.2936183,-17.16608453289874,37.54659109467933,31.101311528144844,1221.0720732160764
cluster_vae_df_eps_2pt5,29.0,41.0,12.0,0.0009645222348291,118.25272298765618,GLOBAL,0.0280787514201511,0.2877801767580664,0.1443018027649799,268.6096536192487,70.73170731707317,0.9642696830954304,0.9626006371306975,0.991224526438639,0.9907918456518978,737137437.9312369,-12.694134320465077,37.54659109467933,32.78037638836496,1226.1616266385065
cluster_vae_df_eps_3,28.0,41.0,13.0,0.0009645222348291,117.88408715257914,GLOBAL,0.0273979741183437,0.2812979679963483,0.1460945064803866,251.2680677095214,68.29268292682927,0.9625639644492324,0.955162191345414,0.9899452374539904,0.9892472526282045,694513021.1828043,-8.495152187865736,37.54659109467933,34.35695103983068,1231.4565743763387
cluster_vae_df_eps_5,30.0,41.0,11.0,0.0009645222348291,54.333238134705866,GLOBAL,0.031751038785246,0.2536538740793009,0.1528106320578405,165.93637808940352,73.17073170731707,0.9268785348774576,0.9195490249091738,0.9792171649160608,0.9771842153702373,454353686.98151016,-10.935739941625354,37.54659109467933,33.44059353561973,1280.179912496568
gmvae_df_eps_0pt5,31.0,41.0,10.0,0.0,-99.80514608972508,GLOBAL,0.1280931671764543,0.2267204299906965,0.3038223266548939,9.001371736662989,75.60975609756098,0.220329473022713,0.2186611378494633,0.2360624831672502,0.2348063179511553,25.650546239362622,-97.05195340833768,37.54659109467933,1.1068909990520854,1422.2976100666071
gmvae_df_eps_1,31.0,41.0,10.0,0.0,-99.45312180600796,GLOBAL,0.1127690376668286,0.2196903728195506,0.2802172437515159,9.31359167060269,75.60975609756098,0.2750246880330371,0.2407942415213539,0.6338989137265464,0.6020866880670351,123.919681456787,-96.47145584052524,37.54659109467933,1.3248480471531732,1421.730730759945
gmvae_df_eps_1pt5,31.0,41.0,10.0,0.0,-98.97684684247386,GLOBAL,0.1071862500731248,0.2035846842665254,0.2681082579525675,9.674546873421896,75.60975609756098,0.5199524194272377,0.3846763565848573,0.6918709040308825,0.6562568310900063,355.9993238041551,-96.05158203961892,37.54659109467933,1.482496346293158,1421.2492344627342
gmvae_df_eps_2,32.0,41.0,9.0,0.0,-98.35617771484436,GLOBAL,0.1041598980289977,0.2023424787992,0.2598350817028911,10.143687102162351,78.04878048780488,0.3978139868928988,0.3083863349086405,0.694788580662537,0.6424668093074813,868.7641004696703,-95.5966518083971,37.54659109467933,1.6533071399761003,1420.721855277813
gmvae_df_eps_2pt5,32.0,41.0,9.0,0.0,-97.59720892867954,GLOBAL,0.1022722710269794,0.202330294635932,0.2531062798592327,10.731035657244494,78.04878048780488,0.4280007181973247,0.3357747432151471,0.5958568991830505,0.5273706936963238,1683.2106585880138,-95.0700487941201,37.54659109467933,1.851028620438936,1420.0989502521743
gmvae_df_eps_3,32.0,41.0,9.0,0.0,-96.8635627717735,GLOBAL,0.1010247071180054,0.2023301873901077,0.2474669484334305,11.37484892446026,78.04878048780488,0.2818700062842266,0.251254051610499,0.6289164197863363,0.5726232483113389,2687.74594144562,-94.4002089886934,37.54659109467933,2.1025306331719005,1419.415408842292
gmvae_df_eps_5,32.0,41.0,9.0,0.0,-94.22886253181991,GLOBAL,0.0972772268379161,0.2025988338713961,0.2318765512102827,13.979714445378692,78.04878048780488,0.5291543226501482,0.3662211106254691,0.6701005476254601,0.6174323074032085,8573.257117917801,-92.29367341338616,37.54659109467933,2.893462931896448,1416.5905313114356
synthetic_df_adasyn,31.0,41.0,10.0,0.0068521937547408,-93.44275089423982,GLOBAL,0.0830436422289215,0.2107547073871597,0.2824010855285786,47.53787205640485,75.60975609756098,0.6349537660472214,0.7176617840001879,0.6814345991561181,0.7779922037539528,221905.16858368707,-70.95188257093707,37.54659109467933,10.906577871792534,1396.643668273974
synthetic_df_copulagan,39.0,41.0,2.0,16.36077617392711,-14.228595086321755,GLOBAL,0.0464051976160648,0.0273475666643785,0.0910341560469967,367.02554833297,95.1219512195122,0.9570652661818836,0.9548799888980066,0.9593769638208096,0.9584549873643692,69146609.89064638,127.53812424420744,37.54659109467933,85.43280909447599,1634.797996005581
synthetic_df_ctgan,38.0,41.0,3.0,15.800712758589537,-19.62481138991511,GLOBAL,0.0208989151990783,0.048952107135012,0.0848205949787083,218.20551986310065,92.6829268292683,0.9492099829428136,0.950819959135939,0.9567959421851152,0.956668428010818,3078940.108921003,957.3888207375402,37.54659109467933,397.0134568031761,1520.7048535113802
synthetic_df_smote,23.0,41.0,18.0,0.0009645222348291,-8.425983197473702,GLOBAL,0.0095127211614357,0.437465158787349,0.2125081407355023,1674.218261665437,56.09756097560975,0.9523745399048388,0.9455305493733838,0.9947706257294192,0.9945830353290626,1223927709069.1953,-5.727362839573246,37.54659109467933,35.39616158879615,733.0021555413649
synthetic_df_tvae,28.0,41.0,13.0,24.207679140553832,-79.93493224832379,GLOBAL,0.0142010531448067,0.2722585186620261,0.0616591483218596,71.8158827735823,68.29268292682927,0.9473920459646288,0.946772379933465,0.967187359727085,0.9655320254664445,456323.9671722782,325.17133365464434,37.54659109467933,159.63734209910402,1387.9348037627533
